X,Y,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8
-1450872.764700673287734,-3758047.134218354243785,2016-01-01 03:20:00,-33.6203,116.2301,38.7,0.049702,459.1,10, Processed
-1456161.916367722209543,-3645004.175524409394711,2016-01-01 03:50:00,-32.61,116.3232,-9999,-9999,-9999,15, Low Possibility
-1441590.537414983846247,-3742709.004495245404541,2016-01-01 05:30:00,-33.4941,116.3503,-9999,-9999,-9999,15, Low Possibility
-1450872.764700673287734,-3758047.134218354243785,2016-01-01 05:40:00,-33.6203,116.2301,-9999,-9999,-9999,15, Low Possibility
-1457486.015173273859546,-3756519.304713406134397,2016-01-01 05:50:00,-33.5994,116.161,24.57,0.088879,408,10, Processed
-1410085.118932220153511,-3745269.544203576631844,2016-01-01 23:00:00,-33.551,116.6857,-9999,-9999,-9999,15, Low Possibility
-1456997.599096840946004,-3650547.081161611247808,2016-01-01 23:20:00,-32.6583,116.307,-9999,-9999,-9999,15, Low Possibility
-1432071.627218576846644,-3754650.616898454725742,2016-01-01 23:20:00,-33.6107,116.4369,-9999,-9999,-9999,15, Low Possibility
-1467041.167435777839273,-3641574.858307959511876,2016-01-01 23:30:00,-32.5676,116.2118,16.23,-9999,-9999,15, Low Possibility
-1472974.906643647002056,-3680437.874206142500043,2016-01-01 23:40:00,-32.9061,116.0968,15.83,-9999,-9999,15, Low Possibility
-1434862.33820143667981,-3714259.904471293557435,2016-01-01 23:50:00,-33.2485,116.46,-9999,-9999,-9999,15, Low Possibility
-1439712.13660101336427,-3671753.392584279645234,2016-01-02 00:00:00,-32.8655,116.4637,-9999,-9999,-9999,15, Low Possibility
-1455109.762679815059528,-3712465.667767559643835,2016-01-02 00:00:00,-33.2104,116.2453,-9999,-9999,-9999,15, Low Possibility
-1455547.691973202629015,-3715254.258004983421415,2016-01-02 00:00:00,-33.2347,116.2369,-9999,-9999,-9999,15, Low Possibility
-1469216.671538723167032,-3715021.834196326788515,2016-01-02 00:20:00,-33.2175,116.0907,26.33,-9999,-9999,15, Low Possibility
-1455742.891518277814612,-3642238.126900893636048,2016-01-02 00:30:00,-32.5859,116.3313,-9999,-9999,-9999,15, Low Possibility
-1433750.035336896311492,-3616843.416696890257299,2016-01-02 01:00:00,-32.3843,116.5985,-9999,-9999,-9999,15, Low Possibility
-1453040.248042035847902,-3728410.584204610437155,2016-01-02 01:10:00,-33.3544,116.2463,-9999,-9999,-9999,12, Cloudy
-1444382.998547747964039,-3745943.241654593963176,2016-01-02 01:40:00,-33.5198,116.316,39.03,0.119587,415.1,10, Processed
-1444382.998547747964039,-3745943.241654593963176,2016-01-02 01:50:00,-33.5198,116.316,31.22,0.032811,470.5,10, Processed
-1455742.891518277814612,-3642238.126900893636048,2016-01-02 02:00:00,-32.5859,116.3313,-9999,-9999,-9999,12, Cloudy
-1456161.916367722209543,-3645004.175524409394711,2016-01-02 02:10:00,-32.61,116.3232,-9999,-9999,-9999,15, Low Possibility
-1444611.476304607698694,-3688865.772503650281578,2016-01-02 02:30:00,-33.0122,116.3889,-9999,-9999,-9999,12, Cloudy
-1455742.891518277814612,-3642238.126900893636048,2016-01-02 02:50:00,-32.5859,116.3313,-9999,-9999,-9999,15, Low Possibility
-1470982.390172154642642,-3726237.477158893831074,2016-01-02 02:50:00,-33.3152,116.0567,-9999,-9999,-9999,15, Low Possibility
